index,movieId,title,genres,avg_rating
0,0,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,3.9209302325581397
1,1,Jumanji (1995),Adventure|Children|Fantasy,3.4318181818181817
2,2,Grumpier Old Men (1995),Comedy|Romance,3.2596153846153846
3,3,Waiting to Exhale (1995),Comedy|Drama|Romance,2.357142857142857
4,4,Father of the Bride Part II (1995),Comedy,3.0714285714285716
5,5,Heat (1995),Action|Crime|Thriller,3.946078431372549
6,6,Sabrina (1995),Comedy|Romance,3.185185185185185
7,7,Tom and Huck (1995),Adventure|Children,2.875
8,8,Sudden Death (1995),Action,3.125
9,9,GoldenEye (1995),Action|Adventure|Thriller,3.496212121212121
10,10,"American President, The (1995)",Comedy|Drama|Romance,3.6714285714285713
11,11,Dracula: Dead and Loving It (1995),Comedy|Horror,2.4210526315789473
12,12,Balto (1995),Adventure|Animation|Children,3.125
13,13,Nixon (1995),Drama,3.8333333333333335
14,14,Cutthroat Island (1995),Action|Adventure|Romance,3.0
15,15,Casino (1995),Crime|Drama,3.926829268292683
16,16,Sense and Sensibility (1995),Drama|Romance,3.7761194029850746
17,17,Four Rooms (1995),Comedy,3.7
18,18,Ace Ventura: When Nature Calls (1995),Comedy,2.727272727272727
19,19,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,2.5
20,20,Get Shorty (1995),Comedy|Crime|Thriller,3.49438202247191
21,21,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,3.2222222222222223
22,22,Assassins (1995),Action|Crime|Thriller,3.125
23,23,Powder (1995),Drama|Sci-Fi,3.125
24,24,Leaving Las Vegas (1995),Drama|Romance,3.625
25,25,Othello (1995),Drama,3.5
26,26,Now and Then (1995),Children|Drama,3.3333333333333335
27,27,Persuasion (1995),Drama|Romance,4.2272727272727275
28,28,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,4.0131578947368425
29,29,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,3.0
30,30,Dangerous Minds (1995),Drama,3.1842105263157894
31,31,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,3.983050847457627
32,33,Babe (1995),Children|Drama,3.65234375
33,35,Dead Man Walking (1995),Crime|Drama,3.8358208955223883
34,37,It Takes Two (1995),Children|Comedy,2.125
35,38,Clueless (1995),Comedy|Romance,3.293269230769231
36,39,"Cry, the Beloved Country (1995)",Drama,4.25
37,40,Richard III (1995),Drama|War,3.7
38,41,Dead Presidents (1995),Action|Crime|Drama,3.0
39,42,Restoration (1995),Drama,3.1875
40,43,Mortal Kombat (1995),Action|Adventure|Fantasy,2.5434782608695654
41,44,To Die For (1995),Comedy|Drama|Thriller,3.3125
42,45,How to Make an American Quilt (1995),Drama|Romance,3.066666666666667
